X,Y,Bin_Type,Bin_code
147.2904861,-42.90883465,120lt Cage General Waste,W
147.2898134,-42.90905818,120lt Cage General Waste,W
147.2910194,-42.90884307,120lt Cage General Waste,W
147.2897382,-42.90938658,120lt Cage General Waste,W
147.2890943,-42.90917319,120lt Cage General Waste,W
147.3275992,-42.88156639,120lt Cage General Waste,W
147.3283376,-42.8818959,120lt Cage General Waste,W
147.3277486,-42.88163391,120lt Cage General Waste,W
147.3286124,-42.88201303,120lt Cage General Waste,W
147.328715,-42.88206375,120lt Cage General Waste,W
147.3272983,-42.88143415,120lt Cage General Waste,W
147.3281948,-42.8818141,120lt Cage General Waste,W
147.3278455,-42.88168504,120lt Cage General Waste,W
147.3283044,-42.88176511,120lt Cage General Waste,W
147.3275888,-42.88143265,120lt Cage General Waste,W
147.3285982,-42.88189431,120lt Cage General Waste,W
147.3278189,-42.88154972,120lt Cage General Waste,W
147.3273992,-42.88133369,120lt Cage General Waste,W
147.3273002,-42.88124445,120lt Cage General Waste,W
147.2971734,-42.86599975,120lt Cage General Waste,W
147.3193094,-42.89448167,120lt Cage General Waste,W
147.3275737,-42.89542099,120lt Cage General Waste,W
147.3282216,-42.89573946,120lt Cage General Waste,W
147.335869,-42.89191851,120lt Cage General Waste,W
147.3287726,-42.88607743,120lt Cage General Waste,W
147.3282161,-42.88296482,120lt Cage General Waste,W
147.3256957,-42.8840818,120lt Cage General Waste,W
147.3254921,-42.88469839,120lt Cage General Waste,W
147.3323904,-42.88066863,120lt Cage General Waste,W
147.3301712,-42.88258522,120lt Cage General Waste,W
147.3278987,-42.88158024,120lt Cage General Waste,W
147.3282955,-42.88113771,120lt Cage General Waste,W
147.3129023,-42.88209205,120lt Cage General Waste,W
147.3130674,-42.87715469,120lt Cage General Waste,W
147.3094401,-42.88079451,120lt Cage General Waste,W
147.309648,-42.88115316,120lt Cage General Waste,W
147.3114999,-42.87957746,120lt Cage General Waste,W
147.3267211,-42.88305198,120lt Cage General Waste,W
147.3151319,-42.84732039,120lt Cage General Waste,W
147.3153889,-42.84714355,120lt Cage General Waste,W
147.3205903,-42.85242992,120lt Cage General Waste,W
147.3147349,-42.88385994,120lt Cage General Waste,W
147.3266324,-42.89468943,120lt Cage General Waste,W
147.3266292,-42.89477033,120lt Cage General Waste,W
147.327904,-42.89500951,120lt Cage General Waste,W
147.3272855,-42.88345706,120lt Cage General Waste,W
147.329995,-42.8825451,120lt Cage General Waste,W
147.326891,-42.88312876,120lt Cage General Waste,W
147.3112275,-42.86010626,120lt Cage General Waste,W
147.3114121,-42.86706522,120lt Cage General Waste,W
147.356523,-42.91036144,120lt Cage General Waste,W
147.2918751,-42.90798747,120lt Cage General Waste,W
147.291808,-42.90798593,120lt Cage General Waste,W
147.327787,-42.88153047,120lt Cage Recycling,R
147.32859,-42.88190452,120lt Cage Recycling,R
147.3310181,-42.88618161,120lt Cage Recycling,R
147.3313097,-42.88528674,120lt Cage Recycling,R
147.3326656,-42.88733576,120lt Cage Recycling,R
147.3329249,-42.88734692,120lt Cage Recycling,R
147.2914861,-42.90835346,120lt Cage Recycling,R
147.332111,-42.88711865,120lt Cage Recycling,R
147.3283621,-42.88119963,120lt Cage Recycling,R
147.3281693,-42.88293851,120lt Cage Recycling,R
147.3321184,-42.88709708,120lt Cage Recycling,R
147.3283444,-42.88118215,120lt Cage Recycling,R
147.2872157,-42.90940638,120lt Cage Recycling,R
147.2918479,-42.90797978,120lt Cage Recycling,R
147.3556351,-42.91299803,120lt Cage Stainless General Waste,W
147.334153,-42.88080843,120lt Cage Stainless General Waste,W
147.3552222,-42.91311225,120lt Cage Stainless General Waste,W
147.3295788,-42.92489194,120lt Doggie Bins,D
147.3209686,-42.88859064,120lt Doggie Bins,D
147.3044522,-42.89444409,120lt Doggie Bins,D
147.3572229,-42.91585775,120lt Doggie Bins,D
147.2992859,-42.89829493,120lt Doggie Bins,D
147.3079138,-42.88003088,120lt Doggie Bins,D
147.3564349,-42.91171086,120lt Doggie Bins,D
147.3044065,-42.88645434,120lt Doggie Bins,D
147.3128059,-42.89180274,120lt Doggie Bins,D
147.2969361,-42.87198122,120lt Doggie Bins,D
147.2997898,-42.89594354,120lt Doggie Bins,D
147.2891342,-42.85932686,120lt Doggie Bins,D
147.2776882,-42.86562142,120lt Doggie Bins,D
147.2700833,-42.86675723,120lt Doggie Bins,D
147.3202706,-42.89513547,120lt Doggie Bins,D
147.3073618,-42.88932859,120lt Doggie Bins,D
147.3022801,-42.88758087,120lt Doggie Bins,D
147.3206988,-42.86536316,120lt Doggie Bins,D
147.3290258,-42.9243303,120lt Doggie Bins,D
147.3096854,-42.90309916,120lt Doggie Bins,D
147.3112806,-42.90257873,120lt Doggie Bins,D
147.3217537,-42.91566936,120lt Doggie Bins,D
147.3373654,-42.91000531,120lt Doggie Bins,D
147.3210454,-42.85620023,120lt Doggie Bins,D
147.3307311,-42.87425702,120lt Doggie Bins,D
147.330662,-42.87615609,120lt Doggie Bins,D
147.3195464,-42.89323997,120lt Doggie Bins,D
147.3094014,-42.90144326,120lt Doggie Bins,D
147.2886453,-42.86110836,120lt Doggie Bins,D
147.327158,-42.87041501,120lt Doggie Bins,D
147.3569968,-42.91363838,120lt Doggie Bins,D
147.3566156,-42.91109042,120lt Doggie Bins,D
147.3571783,-42.91045615,120lt Doggie Bins,D
147.2973708,-42.87505989,120lt Doggie Bins,D
147.3326219,-42.91578195,120lt Doggie Bins,D
147.3591719,-42.93026036,120lt Doggie Bins,D
147.3061626,-42.87509761,120lt Doggie Bins,D
147.3569397,-42.91072687,120lt Doggie Bins,D
147.3007957,-42.89366297,120lt Doggie Bins,D
147.3195374,-42.85301229,240lt Cage General Waste,W
147.3570041,-42.91354764,240lt Cage General Waste,W
147.3564994,-42.91224323,240lt Cage General Waste,W
147.3560527,-42.91148224,240lt Cage General Waste,W
147.3563208,-42.91113588,240lt Cage General Waste,W
147.3567438,-42.91301378,240lt Cage General Waste,W
147.3560084,-42.91156293,240lt Cage General Waste,W
147.3561112,-42.9115884,240lt Cage General Waste,W
147.356154,-42.91151262,240lt Cage General Waste,W
147.3328244,-42.87619356,240lt Cage General Waste,W
147.308626,-42.89547702,240lt Cage General Waste,W
147.2906616,-42.90877536,240lt Cage General Waste,W
147.2871737,-42.90937869,240lt Cage General Waste,W
147.322562,-42.89203841,25lt Drop Metal,W
147.3191281,-42.88681268,25lt Drop Plastic,W
147.325676,-42.90474811,25lt Drop Plastic,W
147.3031405,-42.855397,25lt Drop Plastic,W
147.3318538,-42.87990895,25lt Drop Plastic,W
147.3290056,-42.88360447,25lt Drop Plastic,W
147.3278084,-42.88470579,25lt Drop Plastic,W
147.3072742,-42.87644289,25lt Drop Plastic,W
147.3310044,-42.86738864,25lt Drop Plastic,W
147.3286743,-42.89716298,25lt Drop Plastic,W
147.3240642,-42.88184302,25lt Drop Plastic,W
147.3279244,-42.88375372,25lt Drop Plastic,W
147.3342439,-42.8895827,25lt Drop Plastic,W
147.333337,-42.88972577,25lt Drop Plastic,W
147.3303613,-42.88887412,25lt Drop Plastic,W
147.3306443,-42.88386067,25lt Drop Plastic,W
147.331073,-42.88072278,25lt Drop Plastic,W
147.3269545,-42.89503291,25lt Drop Plastic,W
147.325129,-42.88453524,25lt Drop Plastic,W
147.3183694,-42.86786597,25lt Drop Plastic,W
147.332005,-42.88963608,25lt Drop Plastic,W
147.3224712,-42.88994164,25lt Drop Plastic,W
147.3291057,-42.89760691,25lt Drop Plastic,W
147.3248569,-42.88699474,25lt Drop Plastic,W
147.296518,-42.87431614,25lt Drop Plastic,W
147.3250787,-42.88748784,25lt Drop Plastic,W
147.3258279,-42.89482324,25lt Drop Plastic,W
147.3266734,-42.87688096,25lt Drop Plastic,W
147.3233106,-42.87450002,25lt Drop Plastic,W
147.3207141,-42.87846209,25lt Drop Plastic,W
147.2969661,-42.90560735,25lt Drop Plastic,W
147.2890273,-42.86279261,25lt Drop Plastic,W
147.3262045,-42.9049902,25lt Drop Plastic,W
147.3241468,-42.88205012,25lt Drop Plastic,W
147.3249674,-42.88459971,25lt Drop Plastic,W
147.331191,-42.88066767,25lt Drop Plastic,W
147.3115159,-42.88381802,25lt Drop Plastic,W
147.3101729,-42.87844929,25lt Drop Plastic,W
147.3301097,-42.89899484,25lt Drop Plastic,W
147.3295037,-42.8834802,Waste and Recycling Station,C
147.3309289,-42.88412133,Waste and Recycling Station,C
147.3284469,-42.88388839,Waste and Recycling Station,C
147.3293323,-42.88096917,Waste and Recycling Station,C
147.335953,-42.88167154,Waste and Recycling Station,C
147.3354198,-42.88147575,Waste and Recycling Station,C
147.3346934,-42.88117088,Waste and Recycling Station,C
147.3342171,-42.88658351,Waste and Recycling Station,C
147.3313263,-42.88664698,Waste and Recycling Station,C
147.3331715,-42.88678545,Waste and Recycling Station,C
147.3339996,-42.88679668,Waste and Recycling Station,C
147.3334929,-42.88656579,Waste and Recycling Station,C
147.3330232,-42.88655468,Waste and Recycling Station,C
147.3326611,-42.88655157,Waste and Recycling Station,C
147.3323158,-42.88653177,Waste and Recycling Station,C
147.3324553,-42.88313121,Waste and Recycling Station,C
147.3322202,-42.88268265,Waste and Recycling Station,C
147.3324031,-42.88273536,Waste and Recycling Station,C
147.3317567,-42.88325489,Waste and Recycling Station,C
147.3304192,-42.88292569,Waste and Recycling Station,C
147.3299647,-42.88306688,Waste and Recycling Station,C
147.3297614,-42.88323847,Waste and Recycling Station,C
147.3330422,-42.88319527,Waste and Recycling Station,C
147.3322695,-42.88633635,Waste and Recycling Station,C
147.3304785,-42.88268153,Waste and Recycling Station,C
147.331694,-42.88676464,Waste and Recycling Station,C
147.3313508,-42.88444721,Waste and Recycling Station,C
147.3312315,-42.88303998,Waste and Recycling Station,C
147.3294114,-42.88429765,Waste and Recycling Station,C
147.3293451,-42.88451126,Waste and Recycling Station,C
147.3286184,-42.88417075,Waste and Recycling Station,C
147.3241082,-42.88580491,Waste and Recycling Station,C
147.3299752,-42.88133745,Waste and Recycling Station,C
147.3262436,-42.88097957,Waste and Recycling Station,C
147.3271179,-42.88119683,Waste Station,W
147.3308945,-42.88312261,Waste Station,W
147.3269939,-42.88127911,Waste Station,W
147.3295595,-42.88087442,Waste Station,W
147.331606,-42.88756016,Waste Station,W
147.3227386,-42.88590244,Waste Station,W
147.3300003,-42.88109096,Waste Station,W
147.3259877,-42.88067793,Waste Station,W
147.325651,-42.88072876,Waste Station,W
